Industrial Goods,#,
NOC,Northrop Grumman Corporation,United States,Aerospace/Defense - Major Diversified,
TXT,Textron Inc.,United States,Aerospace/Defense - Major Diversified,
BA,The Boeing Company,United States,Aerospace/Defense Products & Services,
COL,Rockwell Collins Inc.,United States,Aerospace/Defense Products & Services,
GD,General Dynamics Corporation,United States,Aerospace/Defense Products & Services,
LLL,L-3 Communications Holdings Inc.,United States,Aerospace/Defense Products & Services,
LMT,Lockheed Martin Corporation,United States,Aerospace/Defense Products & Services,
RTN,Raytheon Company,United States,Aerospace/Defense Products & Services,
N/A1,#,
BRK-B,Berkshire Hathaway Inc.,United States,N/A1,
Services,#,
OMC,Omnicom Group Inc.,United States,Advertising Agencies,
CHRW,CH Robinson Worldwide Inc.,United States,Air Delivery & Freight Services,
EXPD,Expeditors International of Washington Inc.,United States,Air Delivery & Freight Services,
FDX,FedEx Corporation,United States,Air Delivery & Freight Services,
ANF,Abercrombie & Fitch Co.,United States,Apparel Stores,
Technology,#,
ADI,Analog Devices,United States,Semiconductor - Integrated Circuits,
Utilities,#,
AEP,American Electric Power Co.,United States,Electric Utilities,
CNP,CenterPoint Energy,United States,Gas Utilities,
D,Dominion Resources,United States,Electric Utilities,
