DD,YAHOO,E. I. du Pont de Nemours and Company,United States,Basic Materials,Agricultural Chemicals
MON,YAHOO,Monsanto Company,United States,Basic Materials,Agricultural Chemicals
MOS,YAHOO,The Mosaic Company,United States,Basic Materials,Agricultural Chemicals
AA,YAHOO,Alcoa Inc.,United States,Basic Materials,Aluminum
DOW,YAHOO,The Dow Chemical Company,United States,Basic Materials,Chemicals - Major Diversified
EMN,YAHOO,Eastman Chemical Co.,United States,Basic Materials,Chemicals - Major Diversified
FMC,YAHOO,FMC Corp.,United States,Basic Materials,Chemicals - Major Diversified
PX,YAHOO,Praxair Inc.,United States,Basic Materials,Chemicals - Major Diversified
FCX,YAHOO,Freeport-McMoRan Inc.,United States,Basic Materials,Copper
NEM,YAHOO,Newmont Mining Corporation,United States,Basic Materials,Gold
APA,YAHOO,Apache Corp.,United States,Basic Materials,Independent Oil & Gas
APC,YAHOO,Anadarko Petroleum Corporation,United States,Basic Materials,Independent Oil & Gas
CHK,YAHOO,Chesapeake Energy Corporation,United States,Basic Materials,Independent Oil & Gas
CNX,YAHOO,CONSOL Energy Inc.,United States,Basic Materials,Independent Oil & Gas
COG,YAHOO,Cabot Oil & Gas Corporation,United States,Basic Materials,Independent Oil & Gas
COP,YAHOO,ConocoPhillips,United States,Basic Materials,Independent Oil & Gas
DNR,YAHOO,Denbury Resources Inc.,United States,Basic Materials,Independent Oil & Gas
DVN,YAHOO,Devon Energy Corporation,United States,Basic Materials,Independent Oil & Gas
EQT,YAHOO,EQT Corporation,United States,Basic Materials,Independent Oil & Gas
HES,YAHOO,Hess Corporation,United States,Basic Materials,Independent Oil & Gas
MRO,YAHOO,Marathon Oil Corporation,United States,Basic Materials,Independent Oil & Gas
MUR,YAHOO,Murphy Oil Corporation,United States,Basic Materials,Independent Oil & Gas
NFX,YAHOO,Newfield Exploration Co.,United States,Basic Materials,Independent Oil & Gas
OXY,YAHOO,Occidental Petroleum Corporation,United States,Basic Materials,Independent Oil & Gas
PXD,YAHOO,Pioneer Natural Resources Co.,United States,Basic Materials,Independent Oil & Gas
RRC,YAHOO,Range Resources Corporation,United States,Basic Materials,Independent Oil & Gas
SWN,YAHOO,Southwestern Energy Company,United States,Basic Materials,Independent Oil & Gas
CLF,YAHOO,Cliffs Natural Resources Inc.,United States,Basic Materials,Industrial Metals & Minerals
CVX,YAHOO,Chevron Corporation,United States,Basic Materials,Major Integrated Oil & Gas
XOM,YAHOO,Exxon Mobil Corporation,United States,Basic Materials,Major Integrated Oil & Gas
NBR,YAHOO,Nabors Industries Ltd.,Bermuda,Basic Materials,Oil & Gas Drilling & Exploration
NE,YAHOO,Noble Corporation plc,United Kingdom,Basic Materials,Oil & Gas Drilling & Exploration
RDC,YAHOO,Rowan Companies plc,United States,Basic Materials,Oil & Gas Drilling & Exploration
BHI,YAHOO,Baker Hughes Incorporated,United States,Basic Materials,Oil & Gas Equipment & Services
HAL,YAHOO,Halliburton Company,United States,Basic Materials,Oil & Gas Equipment & Services
SLB,YAHOO,Schlumberger Limited,United States,Basic Materials,Oil & Gas Equipment & Services
SE,YAHOO,Spectra Energy Corp.,United States,Basic Materials,Oil & Gas Pipelines
MPC,YAHOO,Marathon Petroleum Corporation,United States,Basic Materials,Oil & Gas Refining & Marketing
SUN,YAHOO,Sunoco LP,United States,Basic Materials,Oil & Gas Refining & Marketing
TSO,YAHOO,Tesoro Corporation,United States,Basic Materials,Oil & Gas Refining & Marketing
VLO,YAHOO,Valero Energy Corporation,United States,Basic Materials,Oil & Gas Refining & Marketing
IFF,YAHOO,International Flavors & Fragrances Inc.,United States,Basic Materials,Specialty Chemicals
SHW,YAHOO,The Sherwin-Williams Company,United States,Basic Materials,Specialty Chemicals
NUE,YAHOO,Nucor Corporation,United States,Basic Materials,Steel & Iron
X,YAHOO,United States Steel Corp.,United States,Basic Materials,Steel & Iron
WHR,YAHOO,Whirlpool Corp.,United States,Consumer Goods,Appliances
F,YAHOO,Ford Motor Co.,United States,Consumer Goods,Auto Manufacturers - Major
BWA,YAHOO,BorgWarner Inc.,United States,Consumer Goods,Auto Parts
JCI,YAHOO,Johnson Controls International plc,United States,Consumer Goods,Auto Parts
TAP,YAHOO,Molson Coors Brewing Company,United States,Consumer Goods,Beverages - Brewers
CCE,YAHOO,Coca-Cola European Partners Plc,United Kingdom,Consumer Goods,Beverages - Soft Drinks
KO,YAHOO,The Coca-Cola Company,United States,Consumer Goods,Beverages - Soft Drinks
BF-B,YAHOO,Brown-Forman Corporation,United States,Consumer Goods,Beverages - Wineries & Distillers
STZ,YAHOO,Constellation Brands Inc.,United States,Consumer Goods,Beverages - Wineries & Distillers
AVY,YAHOO,Avery Dennison Corporation,United States,Consumer Goods,Business Equipment
PBI,YAHOO,Pitney Bowes Inc.,United States,Consumer Goods,Business Equipment
