Basic Materials,#,
DD,E. I. du Pont de Nemours and Company,United States,Agricultural Chemicals,
MON,Monsanto Company,United States,Agricultural Chemicals,
MOS,The Mosaic Company,United States,Agricultural Chemicals,
AA,Alcoa Inc.,United States,Aluminum,
DOW,The Dow Chemical Company,United States,Chemicals - Major Diversified,
EMN,Eastman Chemical Co.,United States,Chemicals - Major Diversified,
FMC,FMC Corp.,United States,Chemicals - Major Diversified,
PX,Praxair Inc.,United States,Chemicals - Major Diversified,
FCX,Freeport-McMoRan Inc.,United States,Copper,
NEM,Newmont Mining Corporation,United States,Gold,
APA,Apache Corp.,United States,Independent Oil & Gas,
APC,Anadarko Petroleum Corporation,United States,Independent Oil & Gas,
CHK,Chesapeake Energy Corporation,United States,Independent Oil & Gas,
CNX,CONSOL Energy Inc.,United States,Independent Oil & Gas,
COG,Cabot Oil & Gas Corporation,United States,Independent Oil & Gas,
COP,ConocoPhillips,United States,Independent Oil & Gas,
DNR,Denbury Resources Inc.,United States,Independent Oil & Gas,
DVN,Devon Energy Corporation,United States,Independent Oil & Gas,
EQT,EQT Corporation,United States,Independent Oil & Gas,
HES,Hess Corporation,United States,Independent Oil & Gas,
MRO,Marathon Oil Corporation,United States,Independent Oil & Gas,
MUR,Murphy Oil Corporation,United States,Independent Oil & Gas,
NFX,Newfield Exploration Co.,United States,Independent Oil & Gas,
OXY,Occidental Petroleum Corporation,United States,Independent Oil & Gas,
PXD,Pioneer Natural Resources Co.,United States,Independent Oil & Gas,
RRC,Range Resources Corporation,United States,Independent Oil & Gas,
SWN,Southwestern Energy Company,United States,Independent Oil & Gas,
CLF,Cliffs Natural Resources Inc.,United States,Industrial Metals & Minerals,
CVX,Chevron Corporation,United States,Major Integrated Oil & Gas,
XOM,Exxon Mobil Corporation,United States,Major Integrated Oil & Gas,
NBR,Nabors Industries Ltd.,Bermuda,Oil & Gas Drilling & Exploration,
NE,Noble Corporation plc,United Kingdom,Oil & Gas Drilling & Exploration,
RDC,Rowan Companies plc,United States,Oil & Gas Drilling & Exploration,
BHI,Baker Hughes Incorporated,United States,Oil & Gas Equipment & Services,
HAL,Halliburton Company,United States,Oil & Gas Equipment & Services,
SLB,Schlumberger Limited,United States,Oil & Gas Equipment & Services,
SE,Spectra Energy Corp.,United States,Oil & Gas Pipelines,
MPC,Marathon Petroleum Corporation,United States,Oil & Gas Refining & Marketing,
SUN,Sunoco LP,United States,Oil & Gas Refining & Marketing,
TSO,Tesoro Corporation,United States,Oil & Gas Refining & Marketing,
VLO,Valero Energy Corporation,United States,Oil & Gas Refining & Marketing,
IFF,International Flavors & Fragrances Inc.,United States,Specialty Chemicals,
SHW,The Sherwin-Williams Company,United States,Specialty Chemicals,
NUE,Nucor Corporation,United States,Steel & Iron,
X,United States Steel Corp.,United States,Steel & Iron,
Consumer Goods,#,
WHR,Whirlpool Corp.,United States,Appliances,
F,Ford Motor Co.,United States,Auto Manufacturers - Major,
BWA,BorgWarner Inc.,United States,Auto Parts,
JCI,Johnson Controls International plc,United States,Auto Parts,
TAP,Molson Coors Brewing Company,United States,Beverages - Brewers,
CCE,Coca-Cola European Partners Plc,United Kingdom,Beverages - Soft Drinks,
KO,The Coca-Cola Company,United States,Beverages - Soft Drinks,
BF-B,Brown-Forman Corporation,United States,Beverages - Wineries & Distillers,
STZ,Constellation Brands Inc.,United States,Beverages - Wineries & Distillers,
AVY,Avery Dennison Corporation,United States,Business Equipment,
PBI,Pitney Bowes Inc.,United States,Business Equipment,
RAI,Reynolds American Inc.,United States,Cigarettes,
ECL,Ecolab Inc.,United States,Cleaning Products,
HSY,The Hershey Company,United States,Confectioners,
DF,Dean Foods Company,United States,Dairy Products,
AAPL,Apple Inc.,United States,Electronic Equipment,
ADM,Archer-Daniels-Midland Company,United States,Farm Products,
CLX,The Clorox Company,United States,Housewares & Accessories,
NWL,Newell Brands Inc.,United States,Housewares & Accessories,
HRL,Hormel Foods Corporation,United States,Meat Products,
BLL,Ball Corporation,United States,Packaging & Containers,
IP,International Paper Company,United States,Packaging & Containers,
SEE,Sealed Air Corporation,United States,Packaging & Containers,
AVP,Avon Products Inc.,United States,Personal Products,
CL,Colgate-Palmolive Co.,United States,Personal Products,
EL,The Est’e Lauder Companies Inc.,United States,Personal Products,
KMB,Kimberly-Clark Corporation,United States,Personal Products,
PG,The Procter & Gamble Company,United States,Personal Products,
CPB,Campbell Soup Company,United States,Processed & Packaged Goods,
K,Kellogg Company,United States,Processed & Packaged Goods,
MJN,Mead Johnson Nutrition Company,United States,Processed & Packaged Goods,
SJM,The J. M. Smucker Company,United States,Processed & Packaged Goods,
GT,The Goodyear Tire & Rubber Company,United States,Rubber & Plastics,
RL,Ralph Lauren Corporation,United States,Textile - Apparel Clothing,
VFC,V.F. Corporation,United States,Textile - Apparel Clothing,
HAS,Hasbro Inc.,United States,Toys & Games,
PCAR,PACCAR Inc.,United States,Trucks & Other Vehicles,
Financial,#,
AFL,Aflac Incorporated,United States,Accident & Health Insurance,
UNM,Unum Group,United States,Accident & Health Insurance,
BK,The Bank of New York Mellon Corporation,United States,Asset Management,
IVZ,Invesco Ltd.,United States,Asset Management,
NTRS,Northern Trust Corporation,United States,Asset Management,
STT,State Street Corporation,United States,Asset Management,
AXP,American Express Company,United States,Credit Services,
COF,Capital One Financial Corporation,United States,Credit Services,
DFS,Discover Financial Services,United States,Credit Services,
EFX,Equifax Inc.,United States,Credit Services,
MA,Mastercard Incorporated,United States,Credit Services,
SLM,SLM Corporation,United States,Credit Services,
V,Visa Inc.,United States,Credit Services,
WU,The Western Union Company,United States,Credit Services,
AON,Aon plc,United Kingdom,Insurance Brokers,
CME,CME Group Inc.,United States,Investment Brokerage - National,
ETFC,E*TRADE Financial Corporation,United States,Investment Brokerage - National,
LUK,Leucadia National Corporation,United States,Investment Brokerage - National,
MS,Morgan Stanley,United States,Investment Brokerage - National,
SCHW,The Charles Schwab Corporation,United States,Investment Brokerage - National,
LNC,Lincoln National Corporation,United States,Life Insurance,
PFG,Principal Financial Group Inc.,United States,Life Insurance,
TMK,Torchmark Corporation,United States,Life Insurance,
BAC,Bank of America Corporation,United States,Money Center Banks,
C,Citigroup Inc.,United States,Money Center Banks,
CMA,Comerica Incorporated,United States,Money Center Banks,
JPM,JPMorgan Chase & Co.,United States,Money Center Banks,
WFC,Wells Fargo & Company,United States,Money Center Banks,
ALL,The Allstate Corporation,United States,Property & Casualty Insurance,
CB,Chubb Limited,Switzerland,Property & Casualty Insurance,
CINF,Cincinnati Financial Corp.,United States,Property & Casualty Insurance,
L,Loews Corporation,United States,Property & Casualty Insurance,
PGR,Progressive Corp.,United States,Property & Casualty Insurance,
XL,XL Group Ltd,Bermuda,Property & Casualty Insurance,
FITB,Fifth Third Bancorp,United States,Regional - Midwest Banks,
HBAN,Huntington Bancshares Incorporated,United States,Regional - Midwest Banks,
KEY,KeyCorp.,United States,Regional - Midwest Banks,
USB,U.S. Bancorp,United States,Regional - Midwest Banks,
MTB,M&T Bank Corporation,United States,Regional - Northeast Banks,
ZION,Zions Bancorporation,United States,Regional - Pacific Banks,
BBT,BB&T Corporation,United States,Regional - Southeast Banks,
FHN,First Horizon National Corporation,United States,Regional - Southeast Banks,
RF,Regions Financial Corporation,United States,Regional - Southeast Banks,
AMT,American Tower Corporation,United States,REIT - Diversified,
VNO,Vornado Realty Trust,United States,REIT - Diversified,
HCN,Welltower Inc.,United States,REIT - Healthcare Facilities,
PSA,Public Storage,United States,REIT - Industrial,
BXP,Boston Properties Inc.,United States,REIT - Office,
AIV,Apartment Investment and Management Company,United States,REIT - Residential,
EQR,Equity Residential,United States,REIT - Residential,
KIM,Kimco Realty Corporation,United States,REIT - Retail,
SPG,Simon Property Group Inc.,United States,REIT - Retail,
PBCT,People's United Financial Inc.,United States,Savings & Loans,
Healthcare,#,
AMGN,Amgen Inc.,United States,Biotechnology,
BIIB,Biogen Inc.,United States,Biotechnology,
CELG,Celgene Corporation,United States,Biotechnology,
GILD,Gilead Sciences Inc.,United States,Biotechnology,
LIFE,aTyr Pharma Inc.,United States,Biotechnology,
BMY,Bristol-Myers Squibb Company,United States,Drug Manufacturers - Major,
JNJ,Johnson & Johnson,United States,Drug Manufacturers - Major,
LLY,Eli Lilly and Company,United States,Drug Manufacturers - Major,
PFE,Pfizer Inc.,United States,Drug Manufacturers - Major,
PRGO,Perrigo Company plc,Ireland,Drug Related Products,
AGN,Allergan plc,Ireland,Drugs - Generic,
MYL,Mylan N.V.,United Kingdom,Drugs - Generic,
AET,Aetna Inc.,United States,Health Care Plans,
CI,Cigna Corp.,United States,Health Care Plans,
CVS,CVS Health Corporation,United States,Health Care Plans,
ESRX,Express Scripts Holding Company,United States,Health Care Plans,
HUM,Humana Inc.,United States,Health Care Plans,
UNH,UnitedHealth Group Incorporated,United States,Health Care Plans,
THC,Tenet Healthcare Corp.,United States,Hospitals,
ABT,Abbott Laboratories,United States,Medical Appliances & Equipment,
BSX,Boston Scientific Corporation,United States,Medical Appliances & Equipment,
EW,Edwards Lifesciences Corp.,United States,Medical Appliances & Equipment,
MDT,Medtronic plc,Ireland,Medical Appliances & Equipment,
STJ,St. Jude Medical Inc.,United States,Medical Appliances & Equipment,
SYK,Stryker Corporation,United States,Medical Appliances & Equipment,
BAX,Baxter International Inc.,United States,Medical Instruments & Supplies,
BCR,CR Bard Inc.,United States,Medical Instruments & Supplies,
WAT,Waters Corporation,United States,Medical Instruments & Supplies,
DGX,Quest Diagnostics Inc.,United States,Medical Laboratories & Research,
LH,Laboratory Corp. of America Holdings,United States,Medical Laboratories & Research,
PKI,PerkinElmer Inc.,United States,Medical Laboratories & Research,
DVA,DaVita Inc.,United States,Specialized Health Services,
Industrial Goods,#,
NOC,Northrop Grumman Corporation,United States,Aerospace/Defense - Major Diversified,
TXT,Textron Inc.,United States,Aerospace/Defense - Major Diversified,
BA,The Boeing Company,United States,Aerospace/Defense Products & Services,
COL,Rockwell Collins Inc.,United States,Aerospace/Defense Products & Services,
GD,General Dynamics Corporation,United States,Aerospace/Defense Products & Services,
LLL,L-3 Communications Holdings Inc.,United States,Aerospace/Defense Products & Services,
LMT,Lockheed Martin Corporation,United States,Aerospace/Defense Products & Services,
RTN,Raytheon Company,United States,Aerospace/Defense Products & Services,
UTX,United Technologies Corporation,United States,Aerospace/Defense Products & Services,
CMI,Cummins Inc.,United States,Diversified Machinery,
DHR,Danaher Corp.,United States,Diversified Machinery,
DOV,Dover Corporation,United States,Diversified Machinery,
ETN,Eaton Corporation plc,Ireland,Diversified Machinery,
FLS,Flowserve Corp.,United States,Diversified Machinery,
GE,General Electric Company,United States,Diversified Machinery,
HON,Honeywell International Inc.,United States,Diversified Machinery,
IR,Ingersoll-Rand Plc,Ireland,Diversified Machinery,
ITW,Illinois Tool Works Inc.,United States,Diversified Machinery,
MMM,3M Company,United States,Diversified Machinery,
ROK,Rockwell Automation Inc.,United States,Diversified Machinery,
XYL,Xylem Inc.,United States,Diversified Machinery,
CAT,Caterpillar Inc.,United States,Farm & Construction Machinery,
DE,Deere & Company,United States,Farm & Construction Machinery,
MAS,Masco Corporation,United States,General Building Materials,
VMC,Vulcan Materials Company,United States,General Building Materials,
FLR,Fluor Corporation,United States,Heavy Construction,
EMR,Emerson Electric Co.,United States,Industrial Electrical Equipment,
PH,Parker-Hannifin Corporation,United States,Industrial Equipment & Components,
WY,Weyerhaeuser Co.,United States,Lumber,
ATI,Allegheny Technologies Inc.,United States,Metal Fabrication,
DHI,DR Horton Inc.,United States,Residential Construction,
LEN,Lennar Corporation,United States,Residential Construction,
SNA,Snap-on Incorporated,United States,Small Tools & Accessories,
N/A1,#,
BRK-B,Berkshire Hathaway Inc.,United States,N/A1,
Services,#,
OMC,Omnicom Group Inc.,United States,Advertising Agencies,
CHRW,CH Robinson Worldwide Inc.,United States,Air Delivery & Freight Services,
EXPD,Expeditors International of Washington Inc.,United States,Air Delivery & Freight Services,
FDX,FedEx Corporation,United States,Air Delivery & Freight Services,
ANF,Abercrombie & Fitch Co.,United States,Apparel Stores,
JWN,Nordstrom Inc.,United States,Apparel Stores,
ROST,Ross Stores Inc.,United States,Apparel Stores,
URBN,Urban Outfitters Inc.,United States,Apparel Stores,
KMX,CarMax Inc.,United States,Auto Dealerships,
ORLY,O'Reilly Automotive Inc.,United States,Auto Parts Stores,
CTAS,Cintas Corporation,United States,Business Services,
MCO,Moody's Corporation,United States,Business Services,
PCLN,The Priceline Group Inc.,United States,Business Services,
RRD,R.R. Donnelley & Sons Company,United States,Business Services,
KSS,Kohl's Corp.,United States,Department Stores,
SHLD,Sears Holdings Corporation,United States,Department Stores,
TJX,North Atlantic Drilling Limited,Bermuda,Department Stores,
BIG,Big Lots Inc.,United States,Discount,
COST,Costco Wholesale Corporation,United States,Discount,
TGT,Target Corp.,United States,Discount,
WMT,Wal-Mart Stores Inc.,United States,Discount,
ABC,AmerisourceBergen Corporation,United States,Drugs Wholesale,
MCK,McKesson Corporation,United States,Drugs Wholesale,
DV,DeVry Education Group Inc.,United States,Education & Training Services,
GME,GameStop Corp.,United States,Electronics Stores,
CBS,CBS Corporation,United States,Entertainment - Diversified,
CMCSA,Comcast Corporation,United States,Entertainment - Diversified,
DIS,The Walt Disney Company,United States,Entertainment - Diversified,
TWX,Time Warner Inc.,United States,Entertainment - Diversified,
SYY,Sysco Corporation,United States,Food Wholesale,
IGT,International Game Technology PLC,United Kingdom,Gaming Activities,
KR,The Kroger Co.,United States,Grocery Stores,
SVU,SUPERVALU Inc.,United States,Grocery Stores,
BBBY,Bed Bath & Beyond Inc.,United States,Home Furnishing Stores,
FAST,Fastenal Company,United States,Industrial Equipment Wholesale,
TIF,Tiffany & Co.,United States,Jewelry Stores,
EXPE,Expedia Inc.,United States,Lodging,
WYN,Wyndham Worldwide Corporation,United States,Lodging,
CSX,CSX Corp.,United States,Railroads,
NSC,Norfolk Southern Corporation,United States,Railroads,
UNP,Union Pacific Corporation,United States,Railroads,
LUV,Southwest Airlines Co.,United States,Regional Airlines,
CCL,Carnival Corporation,United States,Resorts & Casinos,
WYNN,Wynn Resorts Ltd.,United States,Resorts & Casinos,
MCD,McDonald's Corp.,United States,Restaurants,
SBUX,Starbucks Corporation,United States,Specialty Eateries,
EBAY,eBay Inc.,United States,Specialty Retail, Other
GPC,Genuine Parts Company,United States,Specialty Retail, Other
RHI,Robert Half International Inc.,United States,Staffing & Outsourcing Services,
JEC,Jacobs Engineering Group Inc.,United States,Technical Services,
Technology,#,
ADI,Analog Devices,United States,Semiconductor - Integrated Circuits,
ADP,Automatic Data Processing,United States,Business Software & Services,
ADSK,Autodesk,United States,Technical & System Software,
AKAM,Akamai Technologies,United States,Internet Information Providers,
AMAT,Applied Materials,United States,Semiconductor Equipment & Materials,
AMD,Advanced Micro Devices,United States,Semiconductor - Broad Line,
CA,CA,United States,Business Software & Services,
CRM,salesforce.com,United States,Application Software,
CSCO,Cisco Systems,United States,Networking & Communication Devices,
CTL,CenturyLink,United States,Telecom Services - Domestic,
CTXS,Citrix Systems,United States,Business Software & Services,
FFIV,F5 Networks,United States,Business Software & Services,
FIS,Fidelity National Information Services,United States,Information Technology Services,
FLIR,FLIR Systems,United States,Scientific & Technical Instruments,
